Timestamp                       (process)[PID]    
2023-04-01 16:39:14.369476+0200  localhost com.docker.backend[1880]: (e387cec3) 5bbbda67-VMDiskUsageClient C->S VMDockerdAPI GET /vm/disk-usage
2023-04-01 16:39:14.380695+0200  localhost com.docker.backend[1880]: (e387cec3) 5bbbda67-VMDiskUsageClient C<-S 01a3092c-VMDockerdAPI GET /vm/disk-usage (11.637583ms): {"availableBytes":580857856,"totalBytes":62671097856,"usedBytes":58873524224}
2023-04-01 16:39:44.369057+0200  localhost com.docker.backend[1880]: (ce5f47a2) 5bbbda67-VMDiskUsageClient C->S VMDockerdAPI GET /vm/disk-usage
2023-04-01 16:39:44.380828+0200  localhost com.docker.backend[1880]: (ce5f47a2) 5bbbda67-VMDiskUsageClient C<-S 01a3092c-VMDockerdAPI GET /vm/disk-usage (11.831167ms): {"availableBytes":580857856,"totalBytes":62671097856,"usedBytes":58873524224}
2023-04-01 16:40:14.369067+0200  localhost com.docker.backend[1880]: (6effcc2c) 5bbbda67-VMDiskUsageClient C->S VMDockerdAPI GET /vm/disk-usage
2023-04-01 16:40:14.380782+0200  localhost com.docker.backend[1880]: (6effcc2c) 5bbbda67-VMDiskUsageClient C<-S 01a3092c-VMDockerdAPI GET /vm/disk-usage (11.952042ms): {"availableBytes":580857856,"totalBytes":62671097856,"usedBytes":58873524224}
2023-04-01 16:40:44.369322+0200  localhost com.docker.backend[1880]: (b1aa0f3a) 5bbbda67-VMDiskUsageClient C->S VMDockerdAPI GET /vm/disk-usage
2023-04-01 16:40:44.380485+0200  localhost com.docker.backend[1880]: (b1aa0f3a) 5bbbda67-VMDiskUsageClient C<-S 01a3092c-VMDockerdAPI GET /vm/disk-usage (11.571416ms): {"availableBytes":580857856,"totalBytes":62671097856,"usedBytes":58873524224}
2023-04-01 16:41:14.369279+0200  localhost com.docker.backend[1880]: (f58b5244) 5bbbda67-VMDiskUsageClient C->S VMDockerdAPI GET /vm/disk-usage
2023-04-01 16:41:14.381507+0200  localhost com.docker.backend[1880]: (f58b5244) 5bbbda67-VMDiskUsageClient C<-S 01a3092c-VMDockerdAPI GET /vm/disk-usage (12.54475ms): {"availableBytes":580857856,"totalBytes":62671097856,"usedBytes":58873524224}
2023-04-01 16:41:44.369186+0200  localhost com.docker.backend[1880]: (25929170) 5bbbda67-VMDiskUsageClient C->S VMDockerdAPI GET /vm/disk-usage
2023-04-01 16:41:44.380483+0200  localhost com.docker.backend[1880]: (25929170) 5bbbda67-VMDiskUsageClient C<-S 01a3092c-VMDockerdAPI GET /vm/disk-usage (11.598084ms): {"availableBytes":580857856,"totalBytes":62671097856,"usedBytes":58873524224}
2023-04-01 16:42:14.369182+0200  localhost com.docker.backend[1880]: (61a89a86) 5bbbda67-VMDiskUsageClient C->S VMDockerdAPI GET /vm/disk-usage
2023-04-01 16:42:14.381095+0200  localhost com.docker.backend[1880]: (61a89a86) 5bbbda67-VMDiskUsageClient C<-S 01a3092c-VMDockerdAPI GET /vm/disk-usage (12.038209ms): {"availableBytes":580857856,"totalBytes":62671097856,"usedBytes":58873524224}
2023-04-01 16:42:44.369154+0200  localhost com.docker.backend[1880]: (0d500da8) 5bbbda67-VMDiskUsageClient C->S VMDockerdAPI GET /vm/disk-usage
2023-04-01 16:42:44.380539+0200  localhost com.docker.backend[1880]: (0d500da8) 5bbbda67-VMDiskUsageClient C<-S 01a3092c-VMDockerdAPI GET /vm/disk-usage (11.675459ms): {"availableBytes":580857856,"totalBytes":62671097856,"usedBytes":58873524224}
2023-04-01 16:43:14.369184+0200  localhost com.docker.backend[1880]: (c91de876) 5bbbda67-VMDiskUsageClient C->S VMDockerdAPI GET /vm/disk-usage
2023-04-01 16:43:14.380790+0200  localhost com.docker.backend[1880]: (c91de876) 5bbbda67-VMDiskUsageClient C<-S 01a3092c-VMDockerdAPI GET /vm/disk-usage (12.01775ms): {"availableBytes":580857856,"totalBytes":62671097856,"usedBytes":58873524224}
2023-04-01 16:43:44.369074+0200  localhost com.docker.backend[1880]: (8d2fbb7c) 5bbbda67-VMDiskUsageClient C->S VMDockerdAPI GET /vm/disk-usage
